source	optimized	original_bytes	optimized_bytes	optimized_size
images/taisyoku_fv_square_v2.png	taisyoku_fv_square_v2.webp	1117982	77978	(960, 960)
images/taisyoku_empathy_4x3.png	taisyoku_empathy_4x3.webp	2045843	60744	(960, 640)
images/taisyoku_not_only_retirement_pay_4x3.png	taisyoku_not_only_retirement_pay_4x3.webp	1460242	54608	(960, 640)
images/taisyoku_checklist_4x3.png	taisyoku_checklist_4x3.webp	1325254	43258	(960, 640)
images/taisyoku_max400_bankbook_woman_4x3.png	taisyoku_max400_bankbook_woman_4x3.webp	2002498	66970	(960, 640)
images/taisyoku_case_30s_person_4x3.png	taisyoku_case_30s_person_4x3.webp	1837185	36412	(960, 640)
images/taisyoku_case_40s_person_v2_4x3.png	taisyoku_case_40s_person_v2_4x3.webp	1861901	30850	(960, 640)
images/taisyoku_case_50s_person_4x3.png	taisyoku_case_50s_person_4x3.webp	1896167	36736	(960, 640)
images/taisyoku_simulator_title_4x3.png	taisyoku_simulator_title_4x3.webp	1510838	70858	(960, 640)
images/taisyoku_why_now_4x3.png	taisyoku_why_now_4x3.webp	1252627	39738	(960, 640)
